order_id,customer_name,product,category,amount,city,region,order_date
1,Catherine Ramirez,Laptop,Electronics,1366.84,Sapporo,Hokkaido,2026-02-07 14:25:12
2,Nancy Carter,Phone,Electronics,396.08,Tokyo,Kanto,2026-02-19 08:18:06
3,Kristina Todd,Monitor,Electronics,183.81,Sapporo,Hokkaido,2026-01-25 00:13:33
4,Anna Giles,Headphones,Audio,943.25,Tokyo,Kanto,2026-02-19 21:13:27
5,Jean Holmes,Monitor,Electronics,829.19,Nagoya,Chubu,2026-01-22 19:21:22
6,David Barton,Keyboard,Accessories,338.22,Sapporo,Hokkaido,2026-02-16 03:38:10
7,Sandra Rodriguez,Headphones,Audio,1348.95,Nagoya,Chubu,2026-02-09 05:33:19
8,Kathy Hernandez,Keyboard,Accessories,647.25,Sapporo,Hokkaido,2026-01-23 22:01:22
9,Jessica Curtis,Headphones,Audio,1487.53,Osaka,Kansai,2026-01-31 12:26:03
10,Carol Rodriguez,Laptop,Electronics,184.53,Sapporo,Hokkaido,2026-02-16 13:22:10
11,Anthony Summers,Headphones,Audio,866.64,Tokyo,Kanto,2026-01-30 11:47:23
12,Carol Barker,Keyboard,Accessories,555.45,Sapporo,Hokkaido,2026-02-07 10:00:47
13,Christopher Forbes,Phone,Electronics,1370.25,Osaka,Kansai,2026-01-22 23:57:45
14,Anne Terry,Headphones,Audio,197.54,Sapporo,Hokkaido,2026-02-17 18:16:31
15,David Palmer,Keyboard,Accessories,207.62,Fukuoka,Kyushu,2026-02-10 03:48:46
16,Brandon Hart,Laptop,Electronics,493.45,Osaka,Kansai,2026-02-16 09:43:21
17,Mitchell Gardner,Phone,Electronics,1177.27,Sapporo,Hokkaido,2026-01-31 23:16:29
18,Abigail Prince,Monitor,Electronics,1110.08,Sapporo,Hokkaido,2026-02-02 13:34:34
19,Rebecca Gill,Phone,Electronics,46.76,Tokyo,Kanto,2026-02-06 17:58:28
20,Sharon Dickerson,Laptop,Electronics,107.17,Sapporo,Hokkaido,2026-01-27 19:38:04
21,Lisa Jones,Headphones,Audio,1280.26,Sapporo,Hokkaido,2026-02-01 17:58:16
22,Robert Lewis,Headphones,Audio,305.11,Osaka,Kansai,2026-01-30 15:52:34
23,Angel Long,Monitor,Electronics,113.21,Fukuoka,Kyushu,2026-02-01 03:45:09
24,Shane Chan,Phone,Electronics,337.06,Tokyo,Kanto,2026-02-11 22:58:56
25,Dakota Adams,Monitor,Electronics,250.48,Tokyo,Kanto,2026-02-19 23:20:51
26,Bruce Ryan,Keyboard,Accessories,440.0,Osaka,Kansai,2026-02-02 06:03:24
27,Tracie Smith,Headphones,Audio,1008.6,Nagoya,Chubu,2026-02-06 23:19:46
28,Carrie Ingram,Monitor,Electronics,990.02,Osaka,Kansai,2026-01-25 17:17:00
29,Joshua Smith,Phone,Electronics,1144.73,Tokyo,Kanto,2026-02-20 22:02:08
30,Steven James,Headphones,Audio,1019.65,Tokyo,Kanto,2026-01-30 13:42:42
31,Jennifer Wood,Headphones,Audio,1163.76,Fukuoka,Kyushu,2026-02-01 08:50:44
32,Teresa Dixon,Headphones,Audio,1034.92,Osaka,Kansai,2026-02-18 07:08:00
33,Angelica Kennedy,Laptop,Electronics,974.95,Tokyo,Kanto,2026-01-30 11:23:21
34,Matthew Burgess,Keyboard,Accessories,941.17,Tokyo,Kanto,2026-01-30 21:58:54
35,Natalie Perez,Laptop,Electronics,203.19,Nagoya,Chubu,2026-01-29 14:30:29
36,Jason Ibarra,Monitor,Electronics,187.09,Osaka,Kansai,2026-02-09 23:29:21
37,Yolanda King,Phone,Electronics,1363.25,Fukuoka,Kyushu,2026-02-01 22:59:34
38,Cody Taylor,Laptop,Electronics,454.33,Fukuoka,Kyushu,2026-02-16 09:44:46
39,Daniel Diaz,Keyboard,Accessories,368.45,Nagoya,Chubu,2026-01-25 23:55:46
40,Natalie Allen,Phone,Electronics,639.17,Fukuoka,Kyushu,2026-01-24 23:50:42
41,Stacey Franklin,Monitor,Electronics,1026.95,Fukuoka,Kyushu,2026-02-02 13:54:40
42,David Morgan,Monitor,Electronics,625.62,Fukuoka,Kyushu,2026-02-15 22:42:16
43,Ashley Gibson,Laptop,Electronics,717.35,Tokyo,Kanto,2026-02-07 18:17:14
44,Melissa Hart,Monitor,Electronics,1297.48,Sapporo,Hokkaido,2026-02-08 13:29:40
45,Jennifer Maldonado,Monitor,Electronics,119.1,Osaka,Kansai,2026-02-08 09:19:24
46,Heather Jefferson,Keyboard,Accessories,198.08,Fukuoka,Kyushu,2026-01-29 04:56:16
47,Nathan Eaton Jr.,Monitor,Electronics,1131.59,Nagoya,Chubu,2026-02-20 11:44:20
48,Jacqueline Ward,Monitor,Electronics,939.53,Tokyo,Kanto,2026-02-19 18:22:46
49,Adrienne Mckay,Headphones,Audio,52.99,Fukuoka,Kyushu,2026-02-16 04:31:18
50,Christine Hunter,Headphones,Audio,387.41,Nagoya,Chubu,2026-01-26 20:32:51
51,Sharon Fleming,Headphones,Audio,829.22,Osaka,Kansai,2026-02-08 20:00:25
52,David Underwood,Phone,Electronics,180.32,Osaka,Kansai,2026-02-15 05:21:41
53,Stephanie Holt,Laptop,Electronics,1072.09,Tokyo,Kanto,2026-01-27 03:47:07
54,Samuel Ibarra,Headphones,Audio,343.53,Nagoya,Chubu,2026-02-15 17:06:20
55,Craig Jackson,Keyboard,Accessories,715.34,Sapporo,Hokkaido,2026-01-30 17:47:58
56,Sergio Newman,Phone,Electronics,476.37,Osaka,Kansai,2026-02-15 12:21:59
57,Tyrone Pena,Phone,Electronics,87.95,Sapporo,Hokkaido,2026-02-12 11:58:20
58,Gina Dennis,Monitor,Electronics,867.14,Nagoya,Chubu,2026-02-12 20:50:01
59,Jason Osborne,Phone,Electronics,1190.38,Fukuoka,Kyushu,2026-02-16 15:59:53
60,John Walker,Keyboard,Accessories,378.22,Osaka,Kansai,2026-02-15 01:24:24
61,Erin Vasquez,Monitor,Electronics,1206.21,Osaka,Kansai,2026-02-15 22:10:28
62,Thomas Moore,Headphones,Audio,131.73,Tokyo,Kanto,2026-02-13 10:58:54
63,Mary Salazar,Laptop,Electronics,978.66,Tokyo,Kanto,2026-02-04 10:42:49
64,Julia Ross,Keyboard,Accessories,44.74,Tokyo,Kanto,2026-02-09 09:48:08
65,Sylvia Schwartz,Monitor,Electronics,536.53,Sapporo,Hokkaido,2026-01-22 14:00:40
66,Kimberly Gomez,Monitor,Electronics,196.5,Osaka,Kansai,2026-02-05 06:16:14
67,Dylan Krueger,Headphones,Audio,1463.86,Sapporo,Hokkaido,2026-02-01 18:49:11
68,Ashley Gregory,Monitor,Electronics,1310.51,Tokyo,Kanto,2026-02-12 12:54:30
69,Wendy Bradley,Phone,Electronics,1465.16,Osaka,Kansai,2026-01-27 09:13:06
70,Gary Barnes,Phone,Electronics,592.46,Nagoya,Chubu,2026-02-01 12:22:49
71,Cassandra Smith,Laptop,Electronics,78.8,Osaka,Kansai,2026-01-29 22:35:19
